date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:04	594725/594725	---M--	200	added ('OK')	image/jpeg	etag:%225def7537-91325%22	https://mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(69).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(69).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:05	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c8f7812-1538f%22	https://mdbootstrap.com/previews/templates/portfolio/js/jquery-3.3.1.min.js	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/js/jquery-3.3.1.min.js	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:05	20537/20537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c8f7812-5039%22	https://mdbootstrap.com/previews/templates/portfolio/js/popper.min.js	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/js/popper.min.js	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:05	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c8f7812-e2d8%22	https://mdbootstrap.com/previews/templates/portfolio/js/bootstrap.min.js	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/js/bootstrap.min.js	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:06	228857/228857	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c8f7811-37df9%22	https://mdbootstrap.com/previews/templates/portfolio/js/mdb.min.js	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/js/mdb.min.js	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:06	211/211	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d3%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/01.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/01.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:06	213/213	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d5%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/02.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/02.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:06	209/209	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d1%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/03.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/03.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:06	211/211	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d3%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/04.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/04.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:07	213/213	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d5%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/05.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/05.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:07	211/211	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d3%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/06.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/06.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:07	215/215	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-d7%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/07.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/07.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:07	146/146	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-92%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/08.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/08.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:07	137/137	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-89%22	https://mdbootstrap.com/previews/templates/portfolio/img/overlays/09.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/overlays/09.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:08	547/547	---M--	200	added ('OK')	image/png	etag:%225c8f78e7-223%22	https://mdbootstrap.com/previews/templates/portfolio/img/lightbox/default-skin.png	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/lightbox/default-skin.png	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
11:32:08	866/866	---M--	200	added ('OK')	image/gif	etag:%225c8f78e7-362%22	https://mdbootstrap.com/previews/templates/portfolio/img/lightbox/preloader.gif	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/img/lightbox/preloader.gif	(from https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css)
